Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749333114.0401","14:51:54.040","3","68","1.0","83","4","4","4","2","4"
"1749333114.5405","14:51:54.540","3","68","1.0","83","4","4","4","2","4"
"1749333115.04","14:51:55.040","3","68","1.0","83","4","4","4","2","4"
"1749333115.5397","14:51:55.539","3","68","1.0","83","4","4","4","2","4"
"1749333116.0405","14:51:56.040","3","68","1.0","83","4","4","4","2","4"
"1749333116.5399","14:51:56.539","3","68","1.0","83","4","4","4","2","4"
"1749333117.0394","14:51:57.039","3","68","1.0","83","4","4","4","2","4"
"1749333117.5394","14:51:57.539","3","68","1.0","83","4","4","4","2","4"
"1749333118.0394","14:51:58.039","3","68","1.0","83","4","4","4","2","4"
"1749333118.5389","14:51:58.538","3","68","1.0","83","4","4","4","2","4"
"1749333119.0387","14:51:59.038","3","68","1.0","83","4","4","4","2","4"
"1749333119.5387","14:51:59.538","3","68","1.0","83","4","4","4","2","4"
"1749333120.0382","14:52:00.038","3","68","1.0","83","4","4","4","2","4"
"1749333120.5382","14:52:00.538","3","68","1.0","83","4","4","4","2","4"
"1749333121.0382","14:52:01.038","3","68","1.0","83","4","4","4","2","4"
"1749333121.5379","14:52:01.537","3","68","1.0","83","4","4","4","2","4"
"1749333122.0379","14:52:02.037","3","68","1.0","83","4","4","4","2","4"
"1749333122.5379","14:52:02.537","3","68","1.0","83","4","4","4","2","4"
"1749333123.0372","14:52:03.037","3","68","1.0","83","4","4","4","2","4"
"1749333123.537","14:52:03.537","3","68","1.0","83","4","4","4","2","4"
"1749333124.0372","14:52:04.037","3","68","1.0","83","4","4","4","2","4"
"1749333124.5369","14:52:04.536","3","68","1.0","83","4","4","4","2","4"
"1749333125.0365","14:52:05.036","3","68","1.0","83","4","4","4","2","4"
"1749333125.5368","14:52:05.536","3","68","1.0","83","4","4","4","2","4"
"1749333126.0362","14:52:06.036","3","68","1.0","83","4","4","4","2","4"
"1749333126.5362","14:52:06.536","3","68","1.0","83","4","4","4","2","4"
"1749333127.0365","14:52:07.036","3","68","1.0","83","4","4","4","2","4"
"1749333127.5361","14:52:07.536","3","68","1.0","83","4","4","4","2","4"
"1749333128.0359","14:52:08.035","3","68","1.0","83","4","4","4","2","4"
"1749333128.536","14:52:08.536","3","68","1.0","83","4","4","4","2","4"
"1749333129.0354","14:52:09.035","3","68","1.0","83","4","4","4","2","4"
"1749333129.5352","14:52:09.535","3","68","1.0","83","4","4","4","2","4"
"1749333130.0357","14:52:10.035","3","68","1.0","83","4","4","4","2","4"
"1749333130.5351","14:52:10.535","3","68","1.0","83","4","4","4","2","4"
"1749333131.0345","14:52:11.034","3","68","1.0","83","4","4","4","2","4"
"1749333131.5346","14:52:11.534","3","68","1.0","83","4","4","4","2","4"
"1749333132.0344","14:52:12.034","3","68","1.0","83","4","4","4","2","4"
"1749333132.5338","14:52:12.533","3","68","1.0","83","4","4","4","2","4"
"1749333133.0345","14:52:13.034","3","68","1.0","83","4","4","4","2","4"
"1749333133.5343","14:52:13.534","3","68","1.0","83","4","4","4","2","4"
"1749333134.0337","14:52:14.033","3","68","1.0","83","4","4","4","2","4"
"1749333134.5336","14:52:14.533","3","68","1.0","83","4","4","4","2","4"
"1749333135.0336","14:52:15.033","3","68","1.0","83","4","4","4","2","4"
"1749333135.5332","14:52:15.533","3","68","1.0","83","4","4","4","2","4"
"1749333136.0333","14:52:16.033","3","68","1.0","83","4","4","4","2","4"
"1749333136.5333","14:52:16.533","3","68","1.0","83","4","4","4","2","4"
"1749333137.0327","14:52:17.032","3","68","1.0","83","4","4","4","2","4"
"1749333137.5326","14:52:17.532","3","68","1.0","83","4","4","4","2","4"
"1749333138.0328","14:52:18.032","3","68","1.0","83","4","4","4","2","4"
"1749333138.5322","14:52:18.532","3","68","1.0","83","4","4","4","2","4"
"1749333139.0323","14:52:19.032","3","68","1.0","83","4","4","4","2","4"
"1749333139.5325","14:52:19.532","3","68","1.0","83","4","4","4","2","4"
"1749333140.0317","14:52:20.031","3","68","1.0","83","4","4","4","2","4"
"1749333140.5316","14:52:20.531","3","68","1.0","83","4","4","4","2","4"
"1749333141.0317","14:52:21.031","3","68","1.0","83","4","4","4","2","4"
"1749333141.531","14:52:21.531","3","68","1.0","83","4","4","4","2","4"
"1749333142.0309","14:52:22.030","3","68","1.0","83","4","4","4","2","4"
"1749333142.5309","14:52:22.530","3","68","1.0","83","4","4","4","2","4"
"1749333143.0303","14:52:23.030","3","68","1.0","83","4","4","4","2","4"
"1749333143.5302","14:52:23.530","3","68","1.0","83","4","4","4","2","4"
"1749333144.0304","14:52:24.030","3","68","1.0","83","4","4","4","2","4"
"1749333144.5304","14:52:24.530","3","68","1.0","83","4","4","4","2","4"
"1749333145.0301","14:52:25.030","3","68","1.0","83","4","4","4","2","4"
"1749333145.5305","14:52:25.530","3","68","1.0","83","4","4","4","2","4"
"1749333146.0302","14:52:26.030","3","68","1.0","83","4","4","4","2","4"
"1749333146.5294","14:52:26.529","3","68","1.0","83","4","4","4","2","4"
"1749333147.0296","14:52:27.029","3","68","1.0","83","4","4","4","2","4"
"1749333147.5295","14:52:27.529","3","68","1.0","83","4","4","4","2","4"
